605.1	88.8
605.1	89
604.9	89.2
604.9	89.4
604.8	89.6
604.5	89.8
604.4	90
604.4	90.2
604.3	90.4
604	90.6
604	90.8
604	91
603.8	91.2
603.7	91.4
603.5	91.6
603.5	91.8
603.4	92
603.2	92.2
603.2	92.4
603.1	92.6
602.9	92.8
602.7	93
602.7	93.2
602.5	93.4
602.4	93.6
602.2	93.8
602.2	94
602.1	94.2
601.8	94.4
601.7	94.6
601.7	94.8
601.5	95
601.4	95.2
601.2	95.4
601.2	95.6
601	95.8
600.9	96
600.9	96.2
600.8	96.4
600.5	96.6
600.4	96.8
600.4	97
600.2	97.2
600	97.4
599.8	97.6
599.8	97.8
599.7	98
599.6	98.2
599.4	98.4
599.4	98.6
599.1	98.8
599.1	99
598.9	99.2
598.9	99.4
598.7	99.6
598.5	99.8
598.5	100
598.3	100.2
598.2	100.4
598	100.6
598	100.8
597.9	101
597.7	101.2
597.6	101.4
597.6	101.6
597.4	101.8
597.2	102
597	102.2
597	102.4
596.8	102.6
596.6	102.8
596.5	103
596.5	103.2
596.4	103.4
596.1	103.6
596.1	103.8
596	104
595.8	104.2
595.6	104.4
595.6	104.6
595.4	104.8
595.3	105
595.1	105.2
595.1	105.4
594.9	105.6
594.8	105.8
594.6	106
594.6	106.2
594.5	106.4
594.3	106.6
594.1	106.8
594.1	107
594	107.2
593.8	107.4
593.8	107.6
593.7	107.8
593.5	108
593.3	108.2
593.3	108.4
593.1	108.6
592.9	108.8
592.8	109
592.8	109.2
592.6	109.4
592.4	109.6
592.3	109.8
592.3	110
592.1	110.2
592	110.4
591.9	110.6
591.9	110.8
591.8	111
591.6	111.2
591.6	111.4
591.3	111.6
591.2	111.8
591	112
591	112.2
590.9	112.4
590.7	112.6
590.5	112.8
590.5	113
590.4	113.2
590.1	113.4
590.1	113.6
590.1	113.8
589.7	114
589.6	114.2
589.5	114.4
589.5	114.6
589.3	114.8
589.1	115
589.1	115.2
588.9	115.4
588.8	115.6
588.6	115.8
588.6	116
588.4	116.2
588.2	116.4
588	116.6
588	116.8
587.9	117
587.6	117.2
587.5	117.4
587.5	117.6
587.3	117.8
587.1	118
586.9	118.2
586.9	118.4
586.7	118.6
586.5	118.8
586.5	119
586.2	119.2
586	119.4
585.9	119.6
585.9	119.8
585.7	120
585.5	120.2
585.3	120.4
585.3	120.6
585.2	120.8
584.9	121
584.8	121.2
584.8	121.4
584.5	121.6
584.3	121.8
584.1	122
584.1	122.2
583.9	122.4
583.7	122.6
583.7	122.8
583.5	123
583.3	123.2
583	123.4
583	123.6
582.8	123.8
582.6	124
582.6	124.2
582.4	124.4
582.1	124.6
581.9	124.8
581.9	125
581.7	125.2
581.4	125.4
581.2	125.6
581.2	125.8
581.1	126
580.9	126.2
580.6	126.4
580.6	126.6
580.4	126.8
580.3	127
580	127.2
580	127.4
579.8	127.6
579.5	127.8
579.5	128
579.3	128.2
579.1	128.4
578.8	128.6
578.8	128.8
578.6	129
578.4	129.2
578.3	129.4
578.3	129.6
578.1	129.8
577.8	130
577.6	130.2
577.6	130.4
577.2	130.6
577.1	130.8
576.9	131
576.9	131.2
576.7	131.4
576.3	131.6
576.3	131.8
576.3	132
575.9	132.2
575.9	132.4
575.9	132.6
575.6	132.8
575.3	133
575.1	133.2
575.1	133.4
575	133.6
574.7	133.8
574.6	134
574.6	134.2
574.2	134.4
574	134.6
573.8	134.8
573.8	135
573.6	135.2
573.4	135.4
573.4	135.6
573.1	135.8
572.9	136
572.7	136.2
572.7	136.4
572.4	136.6
572.2	136.8
572	137
571.8	137.2
571.8	137.4
571.5	137.6
571.4	137.8
571.4	138
571.3	138.2
571	138.4
570.7	138.6
570.7	138.8
570.6	139
570.4	139.2
570.2	139.4
570.2	139.6
570.1	139.8
569.8	140
569.7	140.2
